scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal
false_positive,0,0.0,0,5.185,4.646,94.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,123.18,10.215,58.76,uav_2,10.215,False,False,False,False,False
false_positive,0,0.0,1,4.753,15.315,90.0,94.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,116.01,10.417,52.011,uav_3,10.417,False,False,False,False,False
false_positive,0,0.0,2,15.391,5.085,86.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,110.436,10.215,51.702,uav_0,10.215,False,False,False,False,False
false_positive,0,0.0,3,15.17,15.362,90.0,86.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,102.904,10.279,44.121,uav_2,10.279,False,False,False,False,False
false_positive,1,0.2,0,5.396,4.306,94.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,123.265,10.42,58.855,uav_2,10.42,False,False,False,False,False
false_positive,1,0.2,1,4.508,15.631,90.0,94.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,115.976,10.829,52.015,uav_3,10.829,False,False,False,False,False
false_positive,1,0.2,2,15.779,5.182,86.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,110.114,10.42,51.389,uav_0,10.42,False,False,False,False,False
false_positive,1,0.2,3,15.337,15.726,90.0,86.0,50.0,50.0,,,none,,no_fusion,avoidance,3,0,102.533,10.552,43.747,uav_2,10.552,False,False,False,False,False
false_positive,2,0.4,0,5.766,4.153,94.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,123.105,10.45,58.707,uav_2,10.45,False,False,False,False,False
false_positive,2,0.4,1,4.409,16.018,90.0,94.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,115.789,11.119,51.862,uav_3,11.119,False,False,False,False,False
false_positive,2,0.4,2,16.149,5.334,86.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,109.761,10.45,51.044,uav_0,10.45,False,False,False,False,False
false_positive,2,0.4,3,15.528,16.077,90.0,86.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,102.153,10.761,43.364,uav_2,10.761,False,False,False,False,False
false_positive,3,0.6,0,6.142,4.017,94.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,122.931,10.478,58.544,uav_2,10.478,False,False,False,False,False
false_positive,3,0.6,1,4.314,16.407,90.0,94.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,115.598,11.406,51.707,uav_3,11.406,False,False,False,False,False
false_positive,3,0.6,2,16.516,5.494,86.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,109.405,10.478,50.696,uav_0,10.478,False,False,False,False,False
false_positive,3,0.6,3,15.719,16.428,90.0,86.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,101.773,10.963,42.982,uav_2,10.963,False,False,False,False,False
false_positive,4,0.8,0,6.523,3.896,94.0,90.0,50.0,50.0,,,none,,no_fusion,avoidance,2,0,122.744,10.505,58.37,uav_2,10.505,False,False,False,False,False
